building_addr,purpose
서울특별시 중구 무교동 11 광일빌딩,업무시설
서울특별시 중구 무교동 19 대한체육회 체육회관,업무시설
서울특별시 중구 무교동 24-2,제1종근린생활시설
서울특별시 중구 무교동 25-1,업무시설
서울특별시 중구 무교동 32-2 남강건설회관빌딩,업무시설
서울특별시 중구 무교동 45 더익스체인지서울,업무시설
서울특별시 중구 무교동 45 더익스체인지서울몰,제2종근린생활시설
서울특별시 중구 무교동 7,업무시설
서울특별시 중구 무교동 77,업무시설
서울특별시 중구 무교동 95,업무시설
서울특별시 중구 무교동 96 프리미어플레이스,업무시설
서울특별시 중구 무교동 97 서울파이낸스센터,업무시설
서울특별시 중구 무학동 50-1 동호빌딩,업무시설
서울특별시 중구 무학동 6 홍순빌딩(홍순빌딩),업무시설
서울특별시 중구 묵정동 18-29,업무시설
서울특별시 중구 묵정동 27-10,제2종근린생활시설
서울특별시 중구 묵정동 27-19,업무시설
서울특별시 중구 묵정동 29-2 석암빌딩,업무시설
서울특별시 중구 묵정동 29-2 석암빌딩,업무시설
서울특별시 중구 묵정동 29-26,업무시설
서울특별시 중구 묵정동 30-21,업무시설
서울특별시 중구 방산동 79-5 (주건축물제1동),업무시설
서울특별시 중구 봉래동1가 25 에이취에스비씨빌딩,업무시설
서울특별시 중구 봉래동1가 4-2,업무시설
서울특별시 중구 봉래동1가 5-36 우리빌딩,업무시설
서울특별시 중구 봉래동1가 5-41,업무시설
서울특별시 중구 봉래동1가 82 이프라자(이프라자),업무시설
서울특별시 중구 봉래동1가 88-1 오현,업무시설
서울특별시 중구 봉래동1가 93-1 보원빌딩,업무시설
서울특별시 중구 봉래동2가 1,업무시설
서울특별시 중구 봉래동2가 122,업무시설
서울특별시 중구 봉래동2가 122 고속철도승무사무소,업무시설
서울특별시 중구 봉래동2가 122 고속철도승무사무소,업무시설
서울특별시 중구 봉래동2가 122 서울구분소,업무시설
서울특별시 중구 봉래동2가 122 서울역 수송과,업무시설
서울특별시 중구 북창동 1-2 성원빌딩,업무시설
서울특별시 중구 북창동 10-4 포인트원,업무시설
서울특별시 중구 북창동 105,업무시설
서울특별시 중구 북창동 112-35,업무시설
서울특별시 중구 북창동 18-9 백영 북창빌딩,업무시설
서울특별시 중구 북창동 20-5,업무시설
서울특별시 중구 북창동 20-6,업무시설
서울특별시 중구 북창동 35,업무시설
서울특별시 중구 북창동 66,업무시설
서울특별시 중구 북창동 70-1,업무시설
서울특별시 중구 북창동 81,업무시설
서울특별시 중구 북창동 93-3,업무시설
서울특별시 중구 북창동 93-33 부영북창빌딩,업무시설
서울특별시 중구 북창동 93-45,업무시설
서울특별시 중구 북창동 98,업무시설
서울특별시 중구 삼각동 113,업무시설
서울특별시 중구 삼각동 115,업무시설
서울특별시 중구 삼각동 117,업무시설
서울특별시 중구 삼각동 66-1,업무시설
서울특별시 중구 삼각동 66-1 조흥은행별관,업무시설
서울특별시 중구 서소문동 111 태평로빌딩,업무시설
서울특별시 중구 서소문동 12-1,업무시설
서울특별시 중구 서소문동 120-14,업무시설
서울특별시 중구 서소문동 120-20,업무시설
서울특별시 중구 서소문동 120-23 부영빌딩,업무시설
서울특별시 중구 서소문동 135 퍼시픽타워,업무시설
서울특별시 중구 서소문동 136 ENA Center,업무시설
서울특별시 중구 서소문동 21-1 연호빌딩,업무시설
서울특별시 중구 서소문동 26 경서빌딩,업무시설
서울특별시 중구 서소문동 34 서소문 한화빌딩,업무시설
서울특별시 중구 서소문동 34 서소문 한화빌딩,업무시설
서울특별시 중구 서소문동 37 서울시의회 별관,업무시설
서울특별시 중구 서소문동 37 제1동,업무시설
서울특별시 중구 서소문동 37 제2동,업무시설
